commit	combined_score	tier_acc	domain_acc	status	description
9a04975	0.607120	0.619856	0.594383	discard	SIMPLE threshold 0.12 (no change)
714f06a	0.607120	0.619856	0.594383	discard	MEDIUM threshold 0.32 (no change)
d0d0720	0.593730	0.593076	0.594383	discard	COMPLEX threshold 0.55 (worse)
45c64a6	0.575114	0.555846	0.594383	discard	baseline 0.28 (much worse)
011d6de	0.603201	0.612018	0.594383	discard	baseline 0.31 (worse)
2264a19	0.630634	0.666884	0.594383	keep	subject-level tier detection
6de9162	0.634226	0.674069	0.594383	keep	tighten elementary math signals
3f7bbf5	0.651535	0.674069	0.629001	keep	expand domain keywords (psychology, prehistory, law, marketing)
50d1cfc	0.653168	0.674069	0.632266	keep	psychology/government strong signals
e07d272	0.651535	0.674069	0.629001	discard	other strong signals (domain dropped)
798bd62	0.637165	0.642064	0.632266	discard	simple-starter tier adjustment (tier dropped)
7aba1ad	0.653168	0.674069	0.632266	discard	more STEM strong signals (no change)
d492295	0.651535	0.674069	0.629001	discard	4x strong signal weight (domain dropped)
f483c37	0.653168	0.674069	0.632266	discard	moral_scenarios override (no change)
c8d55f8	0.655781	0.674069	0.637492	keep	expand other domain keywords
60fd0e1	0.656760	0.674069	0.639451	keep	prehistory keywords in humanities
c173b6e	0.658720	0.674069	0.643370	keep	religion strong signals for humanities
1c3258c	0.661659	0.674069	0.649249	keep	physics keywords in STEM
2f09b3f	0.662965	0.674069	0.651862	keep	geography strong signals
27306d9	0.663292	0.674069	0.652515	keep	remove noisy cross-domain keywords
dd2071f	0.666558	0.674069	0.659046	keep	bigram strong signals (medical, STEM)
c25b8a4	0.667538	0.676029	0.659046	keep	more professional_law tier signals
851cbe0	0.668844	0.678641	0.659046	keep	single-signal law detection
97e299a	0.669170	0.679295	0.659046	keep	expand accounting tier signals
c06ee2c	0.669497	0.679948	0.659046	keep	single-signal professional_medicine detection
aac7732	0.671457	0.683867	0.659046	keep	single-signal professional_psychology detection
052119a	0.673743	0.683867	0.663619	keep	psychology keywords in social_sciences
1ff93f3	0.678641	0.683867	0.673416	keep	expand STEM keywords
6ac3be6	0.680927	0.683867	0.677988	keep	humanities keywords (philosophers, amendments, periods)
8fd321e	0.684847	0.683867	0.685826	keep	logic/philosophy strong signals
7e82b2c	0.685500	0.683867	0.687133	keep	accounting/medical keywords in other
149d9d7	0.690398	0.693664	0.687133	keep	social_sciences COMPLEX→MEDIUM when score<0.44
f8b767a	0.689419	0.691705	0.687133	discard	social_sciences MEDIUM threshold 0.55 (worse)
eb0513c	0.687459	0.687786	0.687133	discard	social_sciences MEDIUM threshold 0.48 (worse)
27d2eb3	0.692031	0.693664	0.690398	keep	security studies strong signals
3efde7d	0.693011	0.693664	0.692358	keep	security/political keywords in social_sciences
b9442a7	0.692031	0.694317	0.689745	discard	numeric STEM boost 3 (domain dropped)
5186443	0.689419	0.694317	0.684520	discard	all-numeric STEM signal (domain dropped)
e04f1f4	0.693338	0.693664	0.693011	keep	mathematical notation detection for STEM
f2dce7e	0.689745	0.693664	0.685826	discard	tie-breaking mechanism (domain dropped)
6d1ae8e	0.695950	0.694317	0.697583	keep	law/history/religion keywords in humanities
efd3343	0.695624	0.694317	0.696930	discard	medical/accounting strong signals (slight drop)
8f0cf93	0.697583	0.694317	0.700849	keep	True/False statement pair detection for STEM
2a0a626	0.697583	0.694317	0.700849	discard	Statement 1/2 STEM detection (no change)
736b0ea	0.698236	0.695624	0.700849	keep	more professional_law signals
5d6e517	0.699216	0.697583	0.700849	keep	more professional_psychology tier signals
bfe28c4	0.700523	0.700196	0.700849	keep	more professional_accounting tier signals
18e2e95	0.700523	0.700196	0.700849	discard	single law signals (no change)
9e29fb0	0.691705	0.682560	0.700849	discard	law min_signals 1 (too many false positives)
9836f11	0.700523	0.700196	0.700849	discard	psychology context detection (no change)
623245f	0.701829	0.700196	0.703462	keep	medical/global keywords in other
25cf57b	0.702809	0.698890	0.706728	keep	sociology strong signals
9143b71	0.703462	0.698236	0.708687	keep	econometrics keywords in social_sciences
3db90b0	0.704768	0.697583	0.711953	keep	human_sexuality strong signals
